微服务模块                                  ,开发 ,RPC类名                                                         ,RPC方法名                                                     ,功能                                                                         ,,
                                       ,   ,dstJobAssetValuation                                          ,valuate_repayment_plan_and_system_create_order             ,                                                                           ,,
还款订单（落单）                               ,   ,dstJobRepaymentOrderPlacing                                   ,criticalMarker                                             ,还款订单                                                                       ,,
                                       ,   ,dstJobRepaymentOrderPlacing                                   ,check_and_save                                             ,                                                                           ,,
                                       ,   ,dstJobRepaymentOrderPlacing                                   ,roll_back                                                  ,                                                                           ,,
还款订单（撤销）                               ,   ,dstJobRepaymentOrderCancel                                    ,criticalMarker                                             ,还款订单撤销                                                                     ,,
                                       ,   ,dstJobRepaymentOrderCancel                                    ,delete_repayment_order_item                                ,                                                                           ,,
还款订单（核销：主动付款）                          ,   ,dstJobRepaymentOrderActiveVoucherReconciliation               ,criticalMarker                                             ,还款订单主动付款                                                                   ,,
                                       ,   ,dstJobRepaymentOrderActiveVoucherReconciliation               ,repayment_order_recover_details                            ,                                                                           ,,
还款订单（核销：商户付款）                          ,   ,dstJobRepaymentOrderReconciliation                            ,criticalMarker                                             ,还款订单商户                                                                     ,,
                                       ,   ,dstJobRepaymentOrderReconciliation                            ,fetch_virtual_account_and_business_payment_voucher_transfer,                                                                           ,,
                                       ,   ,dstJobRepaymentOrderReconciliation                            ,repayment_order_recover_details                            ,                                                                           ,,
                                       ,   ,dstJobRepaymentOrderReconciliation                            ,unfreeze_capical                                           ,                                                                           ,,
扣款清算                                   ,   ,dstJobClearingDeductPlan                                      ,criticalMarker                                             ,                                                                           ,,
                                       ,   ,dstJobClearingDeductPlan                                      ,reconciliationClearingDeductPlan                           ,                                                                           ,,
商户滞留单还款：                               ,   ,dstJobTmpDepositReconciliation                                ,criticalMarker                                             ,商户滞留单还款                                                                    ,,
                                       ,   ,dstJobTmpDepositReconciliation                                ,validateDetailList                                         ,                                                                           ,,
                                       ,   ,dstJobTmpDepositReconciliation                                ,virtual_account_transfer                                   ,                                                                           ,,
                                       ,   ,dstJobTmpDepositReconciliation                                ,recover_details                                            ,                                                                           ,,
                                       ,   ,dstJobTmpDepositReconciliation                                ,unfreeze_capical                                           ,                                                                           ,,
线下还款：专户线下清算至还款户                        ,   ,dstJobClearingAssetReconciliation                             ,contract_clearing                                          ,专户线下清算至还款户                                                                 ,,
                                       ,   ,dstJobClearingAssetReconciliation                             ,update_financial_contract_account                          ,专户线下清算至还款户                                                                 ,,
线上还款：专户线上清算至还款户                        ,   ,dstJobClearingVoucherAssetReconciliation                      ,contract_clearing                                          ,专户线上清算至还款户                                                                 ,,
                                       ,   ,dstJobClearingVoucherAssetReconciliation                      ,update_financial_contract_account                          ,专户线上清算至还款户                                                                 ,,
